system_id,model_id,model_name,family,phonetic_class,lsd_db,f0_error_cents,boundary_error_db
M14,periodwave_24k,PeriodWave (16-step),Diffusion / Full SDE,Fricatives,8.594,0.0,11.0
M14,periodwave_24k,PeriodWave (16-step),Diffusion / Full SDE,Affricates,8.145,0.0,10.43
M14,periodwave_24k,PeriodWave (16-step),Diffusion / Full SDE,Nasals,9.546,4.0,9.07
M14,periodwave_24k,PeriodWave (16-step),Diffusion / Full SDE,Liquids,9.122,4.0,8.67
M14,periodwave_24k,PeriodWave (16-step),Diffusion / Full SDE,Glides,9.793,4.0,9.3
M2,flow2gan,Flow2GAN (4-step),Flow Matching + GAN,Vowels,6.025,3.5,5.12
M2,flow2gan,Flow2GAN (4-step),Flow Matching + GAN,Stops / Plosives,6.26,5.2,8.45
M2,flow2gan,Flow2GAN (4-step),Flow Matching + GAN,Fricatives,6.486,0.0,8.3
M2,flow2gan,Flow2GAN (4-step),Flow Matching + GAN,Affricates,6.492,0.0,8.31
M2,flow2gan,Flow2GAN (4-step),Flow Matching + GAN,Nasals,6.24,4.0,5.93
M2,flow2gan,Flow2GAN (4-step),Flow Matching + GAN,Liquids,6.151,4.0,5.84
M2,flow2gan,Flow2GAN (4-step),Flow Matching + GAN,Glides,5.75,4.0,5.46
M4,bridgevoc,BridgeVoC,Brownian Bridge SDE,Vowels,6.542,3.5,5.56
M4,bridgevoc,BridgeVoC,Brownian Bridge SDE,Stops / Plosives,6.633,5.4,8.95
M4,bridgevoc,BridgeVoC,Brownian Bridge SDE,Fricatives,6.895,0.0,8.83
M4,bridgevoc,BridgeVoC,Brownian Bridge SDE,Affricates,6.851,0.0,8.77
M4,bridgevoc,BridgeVoC,Brownian Bridge SDE,Nasals,6.877,4.0,6.53
M4,bridgevoc,BridgeVoC,Brownian Bridge SDE,Liquids,6.792,4.0,6.45
M4,bridgevoc,BridgeVoC,Brownian Bridge SDE,Glides,6.594,4.0,6.26
M13,rfwave_libritts_24k,RFWave,Rectified Flow Matching,Vowels,7.99,4.4,6.79
M13,rfwave_libritts_24k,RFWave,Rectified Flow Matching,Stops / Plosives,8.176,6.6,11.04
M13,rfwave_libritts_24k,RFWave,Rectified Flow Matching,Fricatives,8.146,0.0,10.43
M13,rfwave_libritts_24k,RFWave,Rectified Flow Matching,Affricates,7.673,0.0,9.82
M13,rfwave_libritts_24k,RFWave,Rectified Flow Matching,Nasals,8.638,4.3,8.21
M13,rfwave_libritts_24k,RFWave,Rectified Flow Matching,Liquids,8.529,4.3,8.1
M13,rfwave_libritts_24k,RFWave,Rectified Flow Matching,Glides,8.333,4.3,7.92
M10,wavefm,WaveFM (1-step),Distilled Flow Matching,Vowels,7.494,4.7,6.37
M10,wavefm,WaveFM (1-step),Distilled Flow Matching,Stops / Plosives,7.132,6.9,9.63
M10,wavefm,WaveFM (1-step),Distilled Flow Matching,Fricatives,7.223,0.0,9.25
M10,wavefm,WaveFM (1-step),Distilled Flow Matching,Affricates,7.294,0.0,9.34
M10,wavefm,WaveFM (1-step),Distilled Flow Matching,Nasals,7.525,4.5,7.15
M10,wavefm,WaveFM (1-step),Distilled Flow Matching,Liquids,7.589,4.5,7.21
M10,wavefm,WaveFM (1-step),Distilled Flow Matching,Glides,7.066,4.5,6.71
M1,rndvoc,RNDVoC,Random Distortion GAN,Vowels,6.674,3.6,5.67
M1,rndvoc,RNDVoC,Random Distortion GAN,Stops / Plosives,6.873,5.8,9.28
M1,rndvoc,RNDVoC,Random Distortion GAN,Fricatives,6.864,0.0,8.79
M1,rndvoc,RNDVoC,Random Distortion GAN,Affricates,6.834,0.0,8.75
M1,rndvoc,RNDVoC,Random Distortion GAN,Nasals,7.156,4.0,6.8
M1,rndvoc,RNDVoC,Random Distortion GAN,Liquids,6.962,4.0,6.61
M1,rndvoc,RNDVoC,Random Distortion GAN,Glides,6.789,4.0,6.45
M12,freev,FreeV,Pseudo-Inverse Mel GAN,Vowels,7.395,5.7,6.29
M12,freev,FreeV,Pseudo-Inverse Mel GAN,Stops / Plosives,7.582,8.1,10.24
M12,freev,FreeV,Pseudo-Inverse Mel GAN,Fricatives,7.479,0.0,9.57
M12,freev,FreeV,Pseudo-Inverse Mel GAN,Affricates,7.365,0.0,9.43
M12,freev,FreeV,Pseudo-Inverse Mel GAN,Nasals,7.701,5.3,7.32
M12,freev,FreeV,Pseudo-Inverse Mel GAN,Liquids,7.719,5.3,7.33
M12,freev,FreeV,Pseudo-Inverse Mel GAN,Glides,7.755,5.3,7.37
M11,hifigan_universal_v1,HiFi-GAN (Universal V1),Time-domain MRF-GAN,Vowels,7.888,6.0,6.7
M11,hifigan_universal_v1,HiFi-GAN (Universal V1),Time-domain MRF-GAN,Stops / Plosives,7.822,8.4,10.56
M11,hifigan_universal_v1,HiFi-GAN (Universal V1),Time-domain MRF-GAN,Fricatives,7.756,0.0,9.93
M11,hifigan_universal_v1,HiFi-GAN (Universal V1),Time-domain MRF-GAN,Affricates,7.679,0.0,9.83
M11,hifigan_universal_v1,HiFi-GAN (Universal V1),Time-domain MRF-GAN,Nasals,8.05,5.5,7.65
M11,hifigan_universal_v1,HiFi-GAN (Universal V1),Time-domain MRF-GAN,Liquids,8.106,5.5,7.7
M11,hifigan_universal_v1,HiFi-GAN (Universal V1),Time-domain MRF-GAN,Glides,7.77,5.5,7.38
Baseline,griffin_lim,Griffin-Lim STFT,Algorithmic DSP Baseline,Vowels,4.538,4.0,3.86
Baseline,griffin_lim,Griffin-Lim STFT,Algorithmic DSP Baseline,Stops / Plosives,4.76,6.2,6.43
Baseline,griffin_lim,Griffin-Lim STFT,Algorithmic DSP Baseline,Fricatives,4.171,0.0,5.34
Baseline,griffin_lim,Griffin-Lim STFT,Algorithmic DSP Baseline,Affricates,4.093,0.0,5.24
Baseline,griffin_lim,Griffin-Lim STFT,Algorithmic DSP Baseline,Nasals,5.511,4.0,5.24
Baseline,griffin_lim,Griffin-Lim STFT,Algorithmic DSP Baseline,Liquids,5.082,4.0,4.83
Baseline,griffin_lim,Griffin-Lim STFT,Algorithmic DSP Baseline,Glides,5.232,4.0,4.97
